amostra,comp_grao,diam_grao,cor_grao
1,15.89,11.66,vermelho
2,14.68,11.37,vermelho
3,13.6,11.39,vermelho
4,11.39,11.58,vermelho
5,14.27,10.69,vermelho
6,15.02,11.28,vermelho
7,11.88,8.54,vermelho
8,15.06,10.99,amarelo
9,15.98,11.42,amarelo
10,13.32,9.38,amarelo
11,14.64,11.04,amarelo
12,12.15,9.3,amarelo
13,15.59,11.99,amarelo
14,14.26,10.47,verde
15,12.04,8.7,verde
16,10.95,8.43,verde
17,12.88,9.36,verde
18,11.86,9.1,verde
19,14.02,9.17,verde
20,11.99,10.2,verde
21,12.77,9.88,verde
22,12.47,8.53,verde
23,9.75,6.63,verde
24,9.09,7.29,verde
25,10.47,8.54,verde
26,10.14,8.32,verde
27,11.48,8.43,verde
28,12.66,9.25,verde
